Breed,Origin,Size,Weight (kg),Coat Length,Temperament,Lifespan (years),Hypoallergenic,Activity Level
Persian,Iran,Large,3-7,Long,"Gentle, Quiet, Affectionate",12-17,No,Low
Maine Coon,United States,Large,4-8,Long,"Friendly, Playful, Gentle",12-15,No,Medium
Siamese,Thailand,Medium,3-5,Short,"Talkative, Social, Affectionate",12-20,No,High
Ragdoll,United States,Large,4-9,Semi-Long,"Gentle, Calm, Affectionate",12-17,No,Low
Bengal,United States,Medium-Large,4-7,Short,"Active, Curious, Playful",12-16,No,High
British Shorthair,United Kingdom,Large,4-8,Short,"Easygoing, Calm, Affectionate",12-20,No,Low
Abyssinian,Ethiopia,Medium,3-5,Short,"Curious, Active, Intelligent",12-15,No,High
Scottish Fold,Scotland,Medium,3-6,Short or Long,"Calm, Adaptable, Affectionate",11-15,No,Low
Sphynx,Canada,Medium,3-5,Hairless,"Mischievous, Loyal, Intelligent",13-15,Yes,High
American Shorthair,United States,Medium,3-6,Short,"Easygoing, Playful, Social",15-20,No,Medium
Devon Rex,England,Small-Medium,2-4,Short curly,"Mischievous, Loyal, Active",9-15,Yes,High
Burmese,Burma/Myanmar,Medium,3-5,Short,"Curious, Playful, Affectionate",16-18,No,High
Russian Blue,Russia,Medium,3-5,Short,"Gentle, Quiet, Intelligent",15-20,Yes,Low
Turkish Angora,Turkey,Medium,3-5,Semi-Long,"Affectionate, Intelligent, Playful",12-18,No,Medium
Norwegian Forest Cat,Norway,Large,4-8,Long,"Gentle, Intelligent, Reserved",12-16,No,Medium
Himalayan,United States,Large,3-6,Long,"Calm, Sweet, Docile",9-15,No,Low
Birman,Burma/France,Medium,3-5,Semi-Long,"Gentle, Affectionate, Curious",12-16,No,Low
Tonkinese,Canada/USA,Medium,3-5,Short,"Outgoing, Playful, Affectionate",15-18,No,High
Munchkin,United States,Small-Medium,2-4,Short or Long,"Sociable, Active, Playful",12-15,No,High
Oriental Shorthair,United Kingdom,Medium,3-5,Short,"Talkative, Curious, Social",12-15,No,High
Exotic Shorthair,United States,Medium-Large,3-6,Short,"Calm, Quiet, Playful",12-15,No,Low
Egyptian Mau,Egypt,Medium,3-5,Short,"Active, Loyal, Intelligent",12-15,No,High
Cornish Rex,England,Small,2-4,Short wavy,"Outgoing, Intelligent, Active",11-15,Yes,High
Chartreux,France,Large,4-7,Short,"Calm, Affectionate, Intelligent",11-15,No,Low
Selkirk Rex,United States,Medium-Large,4-7,Curly,"Patient, Loving, Tolerant",10-15,No,Medium
Turkish Van,Turkey,Large,4-8,Semi-Long,"Active, Playful, Affectionate",13-17,No,Medium
Balinese,United States,Medium,3-5,Semi-Long,"Intelligent, Playful, Affectionate",12-20,Yes,High
Savannah,United States,Large,7-11,Short,"Active, Confident, Curious",12-20,No,High
Ocicat,United States,Medium,4-6,Short,"Social, Playful, Energetic",12-18,No,High
Somali,United States,Medium,3-5,Semi-Long,"Active, Playful, Curious",12-16,No,High
Pixiebob,United States,Medium-Large,4-7,Short or Long,"Loyal, Gentle, Social",13-15,No,Medium
LaPerm,United States,Medium,3-5,Curly,"Affectionate, Curious, Active",10-15,No,Medium
American Curl,United States,Medium,3-5,Short or Long,"Curious, Affectionate, Playful",12-16,No,Medium
Ragamuffin,United States,Large,5-9,Long,"Gentle, Calm, Affectionate",12-18,No,Low
Singapura,Singapore,Small,2-3,Short,"Curious, Playful, Affectionate",11-15,No,High
Bombay,United States,Medium,3-5,Short,"Playful, Curious, Social",12-16,No,Medium
Chausie,Egypt/France,Large,6-10,Short,"Active, Loyal, Intelligent",12-14,No,High
Cymric,Canada,Medium,4-6,Long,"Gentle, Playful, Loyal",8-14,No,Medium
Peterbald,Russia,Medium,3-5,Hairless or Short,"Affectionate, Curious, Energetic",12-15,Yes,High
Japanese Bobtail,Japan,Medium,2-4,Short or Long,"Active, Intelligent, Playful",15-18,No,High
